���� ��¥,����� ��,defCnt,����,�õ�,incDec,isolClearCnt,isolIngCnt,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
40:20.3,41,3502,?�산,Ulsan,48,3168,293,48,0,308.27,11455,2021??08??11??00??null,
40:20.3,31,4805,?�??大田,43,3523,1251,42,1,328.24,11454,2021??08??11??00??null,,
40:20.3,24,3599,광주,Gwangju,20,3367,208,17,3,248.2,11453,2021??08??11??00??null,
40:20.3,69,9943,?�천,Incheon,112,8843,1031,107,5,337.87,11452,2021??08??11??00??null,
40:20.3,223,12398,?��?大邱,66,11427,748,66,0,512.66,11451,2021??08??11??00??null,,
40:20.3,128,9382,부???�山,126,7994,1260,125,1,276.6,11450,2021??08??11??00??null,,
40:20.3,546,69305,?�울,Seoul,660,60524,8235,649,11,716.83,11449,2021??08??11??00??2021-08-12 08:59:58.404,
40:20.3,2135,216205,?�계,Total,2222,189506,24564,2144,78,417.15,11448,2021??08??11??00??2021-08-12 08:59:30.517,
38:37.3,12,5470,검???�離?�,13,4885,573,0,13,-,11447,2021??08??10??00??null,,
38:37.3,1,1889,?�주,Jeju,12,1719,169,10,2,280,11446,2021??08??10??00??null,
38:37.3,23,8184,경남,Gyeongsangnam-do,110,6975,1186,110,0,245.01,11445,2021??08??10??00??null,
38:37.3,88,5898,경북,Gyeongsangbuk-do,59,5322,488,57,2,223.46,11444,2021??08??10??00??null,
38:37.3,18,2193,?�남,Jeollanam-do,26,1988,187,24,2,118.44,11443,2021??08??10??00??null,
38:37.3,60,2988,?�북,Jeollabuk-do,31,2667,261,28,3,165.62,11442,2021??08??10??00??null,
38:37.3,46,5534,충남,Chungcheongnam-do,66,4739,749,66,0,260.91,11441,2021??08??10??00??null,
38:37.3,71,4247,충북,Chungcheongbuk-do,47,3731,445,41,6,265.36,11440,2021??08??10??00??2021-08-11 10:26:24.642,
38:37.3,57,4770,강원,Gangwon-do,22,4341,372,22,0,309.17,11439,2021??08??10??00??null,
38:37.3,696,60123,경기,Gyeonggi-do,419,52556,6871,397,22,447.78,11438,2021??08??10??00??2021-08-11 10:19:10.891,
38:37.3,1,828,?�종,Sejong,4,730,97,4,0,232.69,11437,2021??08??10??00??null,
38:37.3,41,3454,?�산,Ulsan,51,3156,257,50,1,304.04,11436,2021??08??10??00??null,
38:37.3,31,4762,?�??大田,51,3491,1240,49,2,325.37,11435,2021??08??10??00??2021-08-11 10:08:31.333,,
38:37.3,24,3579,광주,Gwangju,15,3338,217,13,2,246.82,11434,2021??08??10??00??null,
38:37.3,69,9831,?�천,Incheon,66,8662,1100,64,2,334.07,11433,2021??08??10??00??null,
38:37.3,223,12332,?��?大邱,80,11386,723,78,2,509.94,11432,2021??08??10??00??null,,
38:37.3,128,9256,부???�山,105,7919,1209,105,0,272.88,11431,2021??08??10??00??null,,
38:37.3,545,68646,?�울,Seoul,360,59918,8183,356,4,710,11430,2021??08??10??00??2021-08-12 10:53:56.469,
38:37.3,2134,213987,?�계,Total,1540,187523,24330,1474,63,412.87,11429,2021??08??10??00??2021-08-12 10:55:06.224,
38:16.2,12,5457,검???�離?�,13,4881,564,0,13,-,11428,2021??08??09??00??null,,
38:16.2,1,1877,?�주,Jeju,11,1693,183,11,0,278.22,11427,2021??08??09??00??null,
38:16.2,23,8074,경남,Gyeongsangnam-do,88,6890,1161,87,1,241.72,11426,2021??08??09??00??null,
38:16.2,87,5839,경북,Gyeongsangbuk-do,30,5290,462,30,0,221.22,11425,2021??08??09??00??null,
38:16.2,18,2167,?�남,Jeollanam-do,14,1971,178,14,0,117.04,11424,2021??08??09??00??null,
38:16.2,60,2957,?�북,Jeollabuk-do,21,2641,256,20,1,163.9,11423,2021??08??09??00??null,
38:16.2,46,5468,충남,Chungcheongnam-do,68,4711,711,65,3,257.8,11422,2021??08??09??00??null,
38:16.2,71,4200,충북,Chungcheongbuk-do,39,3704,425,38,1,262.36,11421,2021??08??09??00??null,
38:16.2,57,4748,강원,Gangwon-do,24,4297,394,23,1,307.74,11420,2021??08??09??00??null,
38:16.2,692,59704,경기,Gyeonggi-do,407,52283,6729,402,6,444.66,11419,2021??08??09??00??2021-08-12 10:47:18.151,
38:16.2,1,824,?�종,Sejong,1,719,104,1,0,231.57,11418,2021??08??09??00??null,
38:16.2,41,3403,?�산,Ulsan,25,3141,221,25,0,299.56,11417,2021??08??09??00??null,
38:16.2,31,4711,?�??大田,42,3456,1224,42,0,321.82,11416,2021??08??09??00??null,,
38:16.2,24,3564,광주,Gwangju,19,3317,223,15,4,245.78,11415,2021??08??09??00??null,
38:16.2,67,9765,?�천,Incheon,65,8571,1127,65,0,331.82,11414,2021??08??09??00??null,
38:16.2,223,12252,?��?大邱,86,11344,685,82,4,506.63,11413,2021??08??09??00??null,,
38:16.2,128,9151,부???�山,123,7871,1152,121,2,269.79,11412,2021??08??09??00??null,,
38:16.2,543,68287,?�울,Seoul,414,59462,8282,413,1,706.29,11411,2021??08??09??00??2021-08-12 10:46:51.194,
38:16.2,2125,212448,?�계,Total,1490,186242,24081,1455,37,409.9,11410,2021??08??09??00??2021-08-12 10:46:28.099,
48:01.1,12,5444,검???�離?�,16,4881,551,0,16,-,11409,2021??08??08??00??null,,
48:01.1,1,1866,?�주,Jeju,5,1676,189,5,0,276.59,11408,2021??08??08??00??null,
48:01.1,23,7986,경남,Gyeongsangnam-do,118,6829,1134,117,1,239.09,11407,2021??08??08??00??null,
48:01.1,87,5809,경북,Gyeongsangbuk-do,56,5273,449,53,3,220.09,11406,2021??08??08??00??null,
48:01.1,18,2153,?�남,Jeollanam-do,20,1952,183,18,2,116.28,11405,2021??08??08??00??null,
48:01.1,60,2936,?�북,Jeollabuk-do,20,2632,244,20,0,162.74,11404,2021??08??08??00??null,
48:01.1,46,5400,충남,Chungcheongnam-do,86,4672,682,82,4,254.59,11403,2021??08??08??00??null,
48:01.1,71,4161,충북,Chungcheongbuk-do,55,3677,413,54,1,259.93,11402,2021??08??08??00??null,
48:01.1,57,4724,강원,Gangwon-do,25,4258,409,25,0,306.19,11401,2021??08??08??00??null,
48:01.1,690,59295,경기,Gyeonggi-do,462,52007,6598,455,7,441.62,11400,2021??08??08??00??2021-08-11 10:01:16.609,
48:01.1,1,823,?�종,Sejong,7,717,105,7,0,231.29,11399,2021??08??08??00??null,
48:01.1,41,3378,?�산,Ulsan,58,3123,214,58,0,297.35,11398,2021??08??08??00??null,
48:01.1,31,4669,?�??大田,33,3428,1210,33,0,318.95,11397,2021??08??08??00??null,,
48:01.1,24,3545,광주,Gwangju,32,3279,242,29,3,244.47,11396,2021??08??08??00??null,
48:01.1,66,9700,?�천,Incheon,75,8505,1129,70,5,329.61,11395,2021??08??08??00??null,
48:01.1,223,12166,?��?大邱,63,11299,644,57,6,503.07,11394,2021??08??08??00??null,,
48:01.1,128,9028,부???�山,147,7787,1113,145,2,266.16,11393,2021??08??08??00??null,,
48:01.1,542,67872,?�울,Seoul,450,59008,8322,441,9,701.99,11392,2021??08??08??00??null,
48:01.1,2121,210955,?�계,Total,1728,185003,23831,1669,59,407.02,11391,2021??08??08??00??2021-08-11 10:00:42.016,
41:20.4,12,5428,검???�離?�,25,4881,535,0,25,-,11390,2021??08??07??00??null,,
41:20.4,1,1861,?�주,Jeju,13,1654,206,13,0,275.85,11389,2021??08??07??00??null,
41:20.4,23,7869,경남,Gyeongsangnam-do,131,6739,1107,130,1,235.58,11388,2021??08??07??00??null,
41:20.4,87,5753,경북,Gyeongsangbuk-do,49,5245,421,48,1,217.96,11387,2021??08??07??00??null,
41:20.4,18,2133,?�남,Jeollanam-do,20,1928,187,16,4,115.2,11386,2021??08??07??00??null,
41:20.4,60,2916,?�북,Jeollabuk-do,20,2612,244,18,2,161.63,11385,2021??08??07??00??null,
41:20.4,46,5314,충남,Chungcheongnam-do,54,4654,614,52,2,250.54,11384,2021??08??07??00??null,
41:20.4,71,4106,충북,Chungcheongbuk-do,43,3647,388,42,1,256.49,11383,2021??08??07??00??null,
41:20.4,57,4699,강원,Gangwon-do,33,4223,419,33,0,304.57,11382,2021??08??07??00??null,
41:20.4,688,58833,경기,Gyeonggi-do,514,51682,6463,501,13,438.17,11381,2021??08??07??00??null,
41:20.4,1,816,?�종,Sejong,18,710,105,17,1,229.32,11380,2021??08??07??00??null,
41:20.4,41,3320,?�산,Ulsan,21,3105,174,21,0,292.25,11379,2021??08??07??00??null,
41:20.4,31,4636,?�??大田,57,3405,1200,57,0,316.69,11378,2021??08??07??00??null,,
41:20.4,24,3513,광주,Gwangju,18,3272,217,16,2,242.27,11377,2021??08??07??00??null,
41:20.4,66,9625,?�천,Incheon,90,8422,1137,90,0,327.07,11376,2021??08??07??00??null,
41:20.4,222,12103,?��?大邱,68,11234,647,66,2,500.47,11375,2021??08??07??00??null,,
41:20.4,128,8881,부???�山,146,7692,1061,144,2,261.83,11374,2021??08??07??00??null,,
41:20.4,540,67422,?�울,Seoul,503,58684,8198,498,5,697.34,11373,2021??08??07??00??null,
41:20.4,2116,209228,?�계,Total,1823,183789,23323,1762,61,403.69,11372,2021??08??07??00??null,
44:49.2,12,5403,검???�離?�,28,4870,521,0,28,-,11352,2021??08??06??00??null,,
44:49.2,1,1848,?�주,Jeju,16,1630,217,16,0,273.93,11351,2021??08??06??00??null,
44:49.2,23,7738,경남,Gyeongsangnam-do,98,6617,1098,98,0,231.66,11350,2021??08??06??00??null,
44:49.2,87,5704,경북,Gyeongsangbuk-do,56,5219,398,52,4,216.11,11349,2021??08??06??00??null,
44:49.2,17,2113,?�남,Jeollanam-do,24,1906,190,24,0,114.12,11348,2021??08??06??00??null,
44:49.2,60,2896,?�북,Jeollabuk-do,34,2587,249,33,1,160.52,11347,2021??08??06??00??null,
44:49.2,46,5260,충남,Chungcheongnam-do,53,4606,608,52,1,247.99,11346,2021??08??06??00??null,
44:49.2,71,4063,충북,Chungcheongbuk-do,41,3618,374,38,3,253.8,11345,2021??08??06??00??null,
44:49.2,57,4666,강원,Gangwon-do,26,4183,426,26,0,302.43,11344,2021??08??06??00??null,
44:49.2,687,58319,경기,Gyeonggi-do,461,51237,6395,450,11,434.35,11343,2021??08??06??00??2021-08-07 10:24:02.755,
44:49.2,1,798,?�종,Sejong,20,698,99,15,5,224.26,11342,2021??08??06??00??null,
44:49.2,41,3299,?�산,Ulsan,24,3092,166,23,1,290.4,11341,2021??08??06??00??null,
44:49.2,30,4579,?�??大田,50,3381,1168,50,0,312.8,11340,2021??08??06??00??null,,
44:49.2,24,3495,광주,Gwangju,14,3250,221,13,1,241.02,11339,2021??08??06??00??null,
44:49.2,66,9535,?�천,Incheon,103,8346,1123,101,2,324.01,11338,2021??08??06??00??null,
44:49.2,222,12035,?��?大邱,84,11179,634,83,1,497.65,11337,2021??08??06??00??null,,
44:49.2,128,8735,부???�山,107,7612,995,105,2,257.52,11336,2021??08??06??00??null,,
44:49.2,540,66919,?�울,Seoul,464,58021,8358,460,4,692.14,11335,2021??08??06??00??null,
44:49.2,2113,207405,?�계,Total,1703,182052,23240,1639,64,400.17,11334,2021??08??06??00??2021-08-07 14:35:58.856,
00:17.4,12,5375,검???�離?�,33,4869,494,0,33,-,11333,2021??08??05??00??null,,
00:17.4,1,1832,?�주,Jeju,24,1616,215,23,1,271.55,11332,2021??08??05??00??null,
00:17.4,23,7640,경남,Gyeongsangnam-do,82,6540,1077,81,1,228.73,11331,2021??08??05??00??null,
00:17.4,87,5648,경북,Gyeongsangbuk-do,60,5192,369,59,1,213.99,11330,2021??08??05??00??null,
00:17.4,17,2089,?�남,Jeollanam-do,20,1898,174,20,0,112.82,11329,2021??08??05??00??null,
00:17.4,60,2862,?�북,Jeollabuk-do,19,2549,253,19,0,158.64,11328,2021??08??05??00??null,
00:17.4,45,5207,충남,Chungcheongnam-do,71,4558,604,70,1,245.49,11327,2021??08??05??00??null,
00:17.4,71,4022,충북,Chungcheongbuk-do,45,3599,352,45,0,251.24,11326,2021??08??05??00??null,
00:17.4,56,4640,강원,Gangwon-do,31,4146,438,30,1,300.74,11325,2021??08??05??00??null,
00:17.4,686,57857,경기,Gyeonggi-do,486,50972,6199,474,12,430.91,11324,2021??08??05??00??2021-08-07 10:24:40.735,
00:17.4,1,778,?�종,Sejong,15,690,87,14,1,218.64,11323,2021??08??05??00??null,
00:17.4,41,3275,?�산,Ulsan,13,3088,146,13,0,288.29,11322,2021??08??05??00??null,
00:17.4,30,4529,?�??大田,70,3346,1153,70,0,309.38,11321,2021??08??05??00??null,,
00:17.4,24,3481,광주,Gwangju,17,3233,224,17,0,240.06,11320,2021??08??05??00??null,
00:17.4,66,9432,?�천,Incheon,90,8262,1104,89,1,320.51,11319,2021??08??05??00??null,
00:17.4,222,11951,?��?大邱,121,11116,613,120,1,494.18,11318,2021??08??05??00??null,,
00:17.4,128,8628,부???�山,112,7535,965,111,1,254.37,11317,2021??08??05??00??null,,
00:17.4,539,66455,?�울,Seoul,466,57510,8406,461,5,687.34,11316,2021??08??05??00??null,
00:17.4,2109,205701,?�계,Total,1775,180719,22873,1716,59,396.89,11315,2021??08??05??00??2021-08-07 14:40:45.498,
08:57.5,12,5342,검???�離?�,30,4827,503,0,30,-,11236,2021??08??04??00??null,,
08:57.5,1,1808,?�주,Jeju,23,1606,201,23,0,268,11235,2021??08??04??00??null,
08:57.5,23,7558,경남,Gyeongsangnam-do,114,6449,1086,113,1,226.27,11234,2021??08??04??00??null,
08:57.5,87,5588,경북,Gyeongsangbuk-do,48,5169,332,46,2,211.71,11233,2021??08??04??00??null,
08:57.5,17,2069,?�남,Jeollanam-do,15,1866,186,15,0,111.74,11232,2021??08??04??00??null,
08:57.5,60,2843,?�북,Jeollabuk-do,33,2533,250,33,0,157.59,11231,2021??08??04??00??null,
08:57.5,45,5136,충남,Chungcheongnam-do,55,4465,626,52,3,242.15,11230,2021??08??04??00??null,
08:57.5,71,3977,충북,Chungcheongbuk-do,45,3562,344,45,0,248.43,11229,2021??08??04??00??null,
08:57.5,56,4609,강원,Gangwon-do,22,4103,450,22,0,298.73,11228,2021??08??04??00??null,
08:57.5,685,57371,경기,Gyeonggi-do,487,50524,6162,474,13,427.28,11227,2021??08??04??00??null,
08:57.5,1,763,?�종,Sejong,8,681,81,8,0,214.43,11226,2021??08??04??00??null,
08:57.5,41,3262,?�산,Ulsan,15,3076,145,14,1,287.14,11225,2021??08??04??00??null,
08:57.5,30,4459,?�??大田,59,3308,1121,59,0,304.6,11224,2021??08??04??00??null,,
08:57.5,24,3464,광주,Gwangju,16,3225,215,15,1,238.89,11223,2021??08??04??00??null,
08:57.5,66,9342,?�천,Incheon,83,8132,1144,83,0,317.45,11222,2021??08??04??00??2021-08-04 15:47:36.84,
08:57.5,222,11830,?��?大邱,75,11050,558,75,0,489.18,11221,2021??08??04??00??null,,
08:57.5,128,8516,부???�山,111,7418,970,108,3,251.07,11220,2021??08??04??00??null,,
08:57.5,537,65989,?�울,Seoul,486,57129,8323,479,7,682.52,11219,2021??08??04??00??null,
08:57.5,2106,203926,?�계,Total,1725,179123,22697,1664,61,685.52,11218,2021??08??04??00??null,
39:17.9,12,5283,검???�離?�,11,4827,444,0,11,-,11217,2021??08??03??00??null,,
39:17.9,1,1785,?�주,Jeju,21,1588,196,20,1,264.59,11216,2021??08??03??00??null,
39:17.9,23,7444,경남,Gyeongsangnam-do,72,6355,1066,70,2,222.86,11215,2021??08??03??00??null,
39:17.9,87,5540,경북,Gyeongsangbuk-do,25,5144,309,22,3,209.89,11214,2021??08??03??00??null,
39:17.9,17,2054,?�남,Jeollanam-do,4,1836,201,4,0,110.93,11213,2021??08??03??00??null,
39:17.9,60,2810,?�북,Jeollabuk-do,16,2508,242,16,0,155.76,11212,2021??08??03??00??null,
39:17.9,45,5081,충남,Chungcheongnam-do,51,4426,612,49,2,239.65,11211,2021??08??03??00??2021-08-04 10:00:16.244,
39:17.9,71,3932,충북,Chungcheongbuk-do,39,3521,340,38,1,245.62,11210,2021??08??03??00??null,
39:17.9,56,4587,강원,Gangwon-do,25,4051,480,21,4,297.31,11209,2021??08??03??00??null,
39:17.9,684,56884,경기,Gyeonggi-do,360,50283,5917,344,16,423.65,11208,2021??08??03??00??null,
39:17.9,1,755,?�종,Sejong,7,674,80,6,1,212.18,11207,2021??08??03??00??null,
39:17.9,41,3247,?�산,Ulsan,8,3061,145,8,0,285.82,11206,2021??08??03??00??null,
39:17.9,30,4400,?�??大田,78,3284,1086,78,0,300.57,11205,2021??08??03??00??null,,
39:17.9,24,3448,광주,Gwangju,18,3203,221,17,1,237.78,11204,2021??08??03??00??null,
39:17.9,65,9259,?�천,Incheon,48,8045,1178,46,2,315.61,11203,2021??08??03??00??2021-08-04 16:04:39.516,
39:17.9,222,11755,?��?大邱,37,10989,544,37,0,486.08,11202,2021??08??03??00??null,,
39:17.9,128,8405,부???�山,69,7313,964,67,2,247.79,11201,2021??08??03??00??null,,
39:17.9,537,65503,?�울,Seoul,311,56803,8163,307,4,677.49,11200,2021??08??03??00??null,
39:17.9,2104,202201,?�계,Total,1200,177911,22188,1150,50,390.13,11199,2021??08??03??00??2021-08-04 09:59:50.278,
38:12.1,11,5301,검???�離?�,25,4827,463,0,25,-,11198,2021??08??02??00??null,,
38:12.1,1,1764,?�주,Jeju,12,1569,194,12,0,261.47,11197,2021??08??02??00??null,
38:12.1,22,7372,경남,Gyeongsangnam-do,84,6221,1129,77,7,220.7,11196,2021??08??02??00??null,
38:12.1,87,5515,경북,Gyeongsangbuk-do,31,5131,297,27,4,208.95,11195,2021??08??02??00??null,
38:12.1,17,2050,?�남,Jeollanam-do,6,1822,211,3,3,110.72,11194,2021??08??02??00??null,
38:12.1,60,2794,?�북,Jeollabuk-do,13,2485,249,11,2,154.87,11193,2021??08??02??00??null,
38:12.1,45,5030,충남,Chungcheongnam-do,38,4401,584,35,3,237.15,11192,2021??08??02??00??null,
38:12.1,71,3893,충북,Chungcheongbuk-do,26,3511,311,26,0,243.19,11191,2021??08??02??00??null,
38:12.1,56,4562,강원,Gangwon-do,25,3993,513,24,1,295.69,11190,2021??08??02??00??null,
38:12.1,684,56524,경기,Gyeonggi-do,337,49980,5860,328,9,420.97,11189,2021??08??02??00??null,
38:12.1,1,748,?�종,Sejong,3,668,79,2,1,210.21,11188,2021??08??02??00??null,
38:12.1,41,3239,?�산,Ulsan,13,3052,146,12,1,285.12,11187,2021??08??02??00??null,
38:12.1,30,4322,?�??大田,64,3267,1025,62,2,295.24,11186,2021??08??02??00??null,,
38:12.1,24,3430,광주,Gwangju,17,3194,212,16,1,236.54,11185,2021??08??02??00??null,
38:12.1,64,9211,?�천,Incheon,62,7944,1203,59,3,313,11184,2021??08??02??00??null,
38:12.1,222,11718,?��?大邱,26,10942,554,26,0,484.55,11183,2021??08??02??00??null,,
38:12.1,128,8336,부???�山,72,7214,994,68,4,245.76,11182,2021??08??02??00??null,,
38:12.1,535,65192,?�울,Seoul,364,56384,8273,362,2,674.28,11181,2021??08??02??00??2021-08-03 11:01:10.224,
38:12.1,2099,201001,?�계,Total,1218,176605,22297,1150,68,387.82,11180,2021??08??02??00??2021-08-03 11:00:50.611,
01:40.3,11,5276,검???�離?�,19,4825,440,0,19,-,11179,2021??08??01??00??2021-08-02 15:03:52.85,,
01:40.3,1,1752,?�주,Jeju,20,1544,207,20,0,259.7,11178,2021??08??01??00??null,
01:40.3,22,7288,경남,Gyeongsangnam-do,84,6152,1114,81,3,218.19,11177,2021??08??01??00??null,
01:40.3,87,5484,경북,Gyeongsangbuk-do,28,5114,283,26,2,207.77,11176,2021??08??01??00??null,
01:40.3,17,2044,?�남,Jeollanam-do,9,1808,219,9,0,110.39,11175,2021??08??01??00??null,
01:40.3,60,2781,?�북,Jeollabuk-do,14,2473,248,13,1,154.15,11174,2021??08??01??00??null,
01:40.3,45,4992,충남,Chungcheongnam-do,46,4373,574,42,4,235.36,11173,2021??08??01??00??null,
01:40.3,71,3867,충북,Chungcheongbuk-do,17,3481,315,15,2,241.56,11172,2021??08??01??00??null,
01:40.3,55,4537,강원,Gangwon-do,44,3958,524,44,0,294.07,11171,2021??08??01??00??null,
01:40.3,684,56187,경기,Gyeonggi-do,406,49712,5791,393,13,418.46,11170,2021??08??01??00??null,
01:40.3,1,745,?�종,Sejong,9,660,84,9,0,209.37,11169,2021??08??01??00??null,
01:40.3,41,3226,?�산,Ulsan,20,3035,150,19,1,283.97,11168,2021??08??01??00??null,
01:40.3,30,4258,?�??大田,69,3250,978,67,2,290.87,11167,2021??08??01??00??null,,
01:40.3,24,3413,광주,Gwangju,14,3187,202,12,2,235.37,11166,2021??08??01??00??2021-08-02 15:03:39.259,
01:40.3,64,9149,?�천,Incheon,89,7893,1192,87,2,310.89,11165,2021??08??01??00??null,
01:40.3,222,11692,?��?大邱,23,10902,568,23,0,483.47,11164,2021??08??01??00??null,,
01:40.3,128,8264,부???�山,58,7119,1017,57,1,243.64,11163,2021??08??01??00??null,,
01:40.3,535,64828,?�울,Seoul,473,56188,8105,469,4,670.55,11162,2021??08??01??00??2021-08-02 14:12:02.93,
01:40.3,2098,199783,?�계,Total,1442,175674,22011,1386,56,385.47,11161,2021??08??01??00??2021-08-02 14:11:42.588,
38:02.2,10,5257,검???�離?�,25,4551,696,0,25,-,11160,2021??07??31??00??2021-08-02 15:02:25.009,,
38:02.2,1,1732,?�주,Jeju,26,1519,212,26,0,256.73,11159,2021??07??31??00??null,
38:02.2,22,7204,경남,Gyeongsangnam-do,99,6068,1114,97,2,215.67,11158,2021??07??31??00??null,
38:02.2,87,5456,경북,Gyeongsangbuk-do,19,5090,279,19,0,206.71,11157,2021??07??31??00??null,
38:02.2,17,2035,?�남,Jeollanam-do,13,1791,227,12,1,109.91,11156,2021??07??31??00??null,
38:02.2,60,2767,?�북,Jeollabuk-do,14,2465,242,11,3,153.37,11155,2021??07??31??00??null,
38:02.2,45,4946,충남,Chungcheongnam-do,63,4338,563,62,1,233.19,11154,2021??07??31??00??null,
38:02.2,71,3850,충북,Chungcheongbuk-do,19,3456,323,18,1,240.5,11153,2021??07??31??00??null,
38:02.2,55,4493,강원,Gangwon-do,39,3920,518,37,2,291.22,11152,2021??07??31??00??null,
38:02.2,683,55781,경기,Gyeonggi-do,395,49175,5923,383,12,415.44,11151,2021??07??31??00??null,
38:02.2,1,736,?�종,Sejong,12,645,90,12,0,206.84,11150,2021??07??31??00??null,
38:02.2,41,3206,?�산,Ulsan,17,3026,139,16,1,282.21,11149,2021??07??31??00??null,
38:02.2,30,4189,?�??大田,86,3209,950,86,0,286.16,11148,2021??07??31??00??null,,
38:02.2,24,3399,광주,Gwangju,22,3171,204,20,2,234.4,11147,2021??07??31??00??2021-08-02 15:02:02.497,
38:02.2,64,9060,?�천,Incheon,96,7805,1191,87,9,307.87,11146,2021??07??31??00??null,
38:02.2,222,11669,?��?大邱,46,10859,588,43,3,482.52,11145,2021??07??31??00??null,,
38:02.2,128,8206,부???�山,72,7024,1054,69,3,241.93,11144,2021??07??31??00??null,,
38:02.2,534,64355,?�울,Seoul,476,56065,7756,468,8,665.66,11143,2021??07??31??00??2021-08-02 14:06:59.521,
38:02.2,2095,198341,?�계,Total,1539,174177,22069,1466,73,382.69,11142,2021??07??31??00??2021-08-02 14:06:40.193,
37:13.9,10,5232,검???�離?�,17,4551,671,0,17,-,11141,2021??07??30??00??2021-08-02 14:59:05.661,,
37:13.9,1,1706,?�주,Jeju,18,1495,210,18,0,252.88,11140,2021??07??30??00??null,
37:13.9,22,7105,경남,Gyeongsangnam-do,99,6006,1077,98,1,212.71,11139,2021??07??30??00??null,
37:13.9,87,5437,경북,Gyeongsangbuk-do,37,5065,285,37,0,205.99,11138,2021??07??30??00??null,
37:13.9,17,2022,?�남,Jeollanam-do,19,1769,236,17,2,109.21,11137,2021??07??30??00??null,
37:13.9,60,2753,?�북,Jeollabuk-do,23,2454,239,21,2,152.6,11136,2021??07??30??00??null,
37:13.9,45,4883,충남,Chungcheongnam-do,37,4307,531,36,1,230.22,11135,2021??07??30??00??null,
37:13.9,71,3831,충북,Chungcheongbuk-do,37,3425,335,34,3,239.31,11134,2021??07??30??00??null,
37:13.9,55,4454,강원,Gangwon-do,20,3863,536,20,0,288.69,11133,2021??07??30??00??null,
37:13.9,682,55386,경기,Gyeonggi-do,524,48826,5878,515,9,412.5,11132,2021??07??30??00??null,
37:13.9,1,724,?�종,Sejong,4,643,80,4,0,203.47,11131,2021??07??30??00??null,
